exercise_id,Title,BodyPart,primary_muscle,secondary_muscles_str,movement_pattern
partner-plank-band-row,Partner plank band row,Abdominals,abdominals,biceps;forearms;obliques,pull
banded-crunch-isometric-hold,Banded crunch isometric hold,Abdominals,abdominals,,push
fyr-banded-plank-jack,FYR Banded Plank Jack,Abdominals,abdominals,obliques;lower_back,plank
banded-crunch,Banded crunch,Abdominals,abdominals,,push
crunch,Crunch,Abdominals,abdominals,,push
decline-band-press-sit-up,Decline band press sit-up,Abdominals,abdominals,triceps;shoulders,push
fyr2-banded-frog-pump,FYR2 Banded Frog Pump,Abdominals,abdominals,,push
band-low-to-high-twist,Band low-to-high twist,Abdominals,abdominals,,rotational
barbell-roll-out,Barbell roll-out,Abdominals,abdominals,,push
barbell-ab-rollout-on-knees,Barbell Ab Rollout - On Knees,Abdominals,abdominals,,push
decline-bar-press-sit-up,Decline bar press sit-up,Abdominals,abdominals,triceps;shoulders,push
bench-barbell-roll-out,Bench barbell roll-out,Abdominals,abdominals,triceps;shoulders,push
barbell-side-bend,Barbell Side Bend,Abdominals,abdominals,,push
seated-bar-twist,Seated bar twist,Abdominals,abdominals,,rotational
single-arm-landmine-pull-and-press,Single-arm landmine pull and press,Abdominals,abdominals,triceps;shoulders,push
barbell-ab-roll-out-gethin-variation,Barbell Ab Roll Out - Gethin Variation,Abdominals,abdominals,,push
30-barbell-floor-wiper,30 Barbell Floor Wiper,Abdominals,abdominals,triceps;shoulders,push
30-barbell-roll-out,30 Barbell Roll-Out,Abdominals,abdominals,,push
decline-plate-sit-up,Decline plate sit-up,Abdominals,abdominals,,push
kv-barbell-hip-thrust,KV Barbell Hip Thrust,Abdominals,abdominals,hamstrings;core,push
advanced-kettlebell-windmill,Advanced Kettlebell Windmill,Abdominals,abdominals,,push
kettlebell-windmill,Kettlebell Windmill,Abdominals,abdominals,,push
kettlebell-pass-between-the-legs,Kettlebell Pass Between The Legs,Abdominals,abdominals,,push
kettlebell-3-point-leg-extension,Kettlebell 3-point leg extension,Abdominals,abdominals,forearms,push
double-kettlebell-swing,Double Kettlebell Swing,Abdominals,abdominals,,push
burpee-over-kettlebell,Burpee over kettlebell,Abdominals,abdominals,,push
kettlebell-toe-touch,Kettlebell toe-touch,Abdominals,abdominals,,push
kettlebell-swing,Kettlebell swing,Abdominals,abdominals,glutes;hamstrings;lower_back,push
two-way-swing,Two-way swing,Abdominals,abdominals,triceps;upper_chest,push
kettlebell-crab-reach,Kettlebell crab reach,Abdominals,abdominals,triceps;upper_chest,push
taylor-single-arm-kettlebell-swing,Taylor Single-Arm Kettlebell Swing,Abdominals,abdominals,,push
holman-kettlebell-up-to-elbow-down,Holman Kettlebell Up to Elbow Down,Abdominals,abdominals,,push
fyr2-double-kettlebell-ski,FYR2 Double-Kettlebell Ski,Abdominals,abdominals,,push
fyr2-kettlebell-hike,FYR2 Kettlebell Hike,Abdominals,abdominals,,push
fyr2-kettlebell-cross-body-catch,FYR2 Kettlebell Cross-Body Catch,Abdominals,abdominals,,push
fyr2-kettlebell-duck-walk,FYR2 Kettlebell Duck Walk,Abdominals,abdominals,,push
fyr2-kettlebell-get-up-reach,FYR2 Kettlebell Get-Up Reach,Abdominals,abdominals,,push
fyr2-kettlebell-juggle,FYR2 Kettlebell Juggle,Abdominals,abdominals,,push
fyr2-squat-clean-alternating-press-complex,FYR2 Squat-Clean-Alternating-Press Complex,Abdominals,abdominals,triceps;shoulders;glutes,push
dumbbell-v-sit-cross-jab,Dumbbell V-Sit Cross Jab,Abdominals,abdominals,,push
dumbbell-spell-caster,Dumbbell spell caster,Abdominals,abdominals,,push
dumbbell-side-bend,Dumbbell side bend,Abdominals,abdominals,,push
dumbbell-crunch,Dumbbell crunch,Abdominals,abdominals,,push
dumbbell-fix-dumbbell-sprawl,Dumbbell Fix Dumbbell Sprawl,Abdominals,abdominals,,push
dumbbell-fix-alternating-renegade-row,Dumbbell Fix Alternating Renegade Row,Abdominals,abdominals,biceps;forearms,pull
dumbbell-fix-dumbbell-mountain-climber,Dumbbell Fix Dumbbell Mountain Climber,Abdominals,abdominals,,push
dumbbell-fix-dumbbell-russian-twist,Dumbbell Fix Dumbbell Russian Twist,Abdominals,abdominals,,rotational
dumbbell-fix-dumbbell-pull-over,Dumbbell Fix Dumbbell Pull-Over,Abdominals,abdominals,,push
dumbbell-fix-dumbbell-sit-up,Dumbbell Fix Dumbbell Sit-Up,Abdominals,abdominals,,push
dumbbell-fix-dumbbell-front-squat,Dumbbell Fix Dumbbell Front Squat,Abdominals,abdominals,glutes;hamstrings;core,squat
dumbbell-fix-full-man-maker,Dumbbell Fix Full Man Maker,Abdominals,abdominals,,push
dumbbell-t-hold,Dumbbell T-hold,Abdominals,abdominals,obliques;lower_back,push
dumbbell-hollow-body-floor-press,Dumbbell hollow-body floor press,Abdominals,abdominals,triceps;shoulders;obliques,push
dumbbell-crusher,Dumbbell crusher,Abdominals,abdominals,triceps;shoulders;glutes,push
dumbbell-crunch-gethin-variation,Dumbbell Crunch - Gethin Variation,Abdominals,abdominals,,push
single-arm-dumbbell-crunch,Single-arm dumbbell crunch,Abdominals,abdominals,,push
hm-alternating-dumbbell-plank-row,HM Alternating Dumbbell Plank Row,Abdominals,abdominals,biceps;forearms;obliques,pull
dumbbell-straight-legged-hip-raise,Dumbbell straight-legged hip raise,Abdominals,abdominals,,push
seated-leg-tuck-with-dumbbell,Seated leg tuck with dumbbell,Abdominals,abdominals,triceps;shoulders,push
dumbbell-v-sit-cross-jab,Dumbbell V-sit cross jab-,Abdominals,abdominals,,push
30-hanging-leg-raise-with-dumbbell,30 Hanging Leg Raise With Dumbbell,Abdominals,abdominals,,push
dumbbell-get-up-sit-up,Dumbbell Get-Up Sit-Up,Abdominals,abdominals,,push
holman-right-side-plank-with-left-triceps-press,Holman Right Side Plank with Left Triceps Press,Abdominals,abdominals,triceps;shoulders;obliques,push
holman-left-side-plank-with-right-triceps-press,Holman Left Side Plank with Right Triceps Press,Abdominals,abdominals,triceps;shoulders;obliques,push
holman-boat-with-feet-push-out-and-overhead-press,Holman Boat with Feet Push-Out and Overhead Press,Abdominals,abdominals,triceps;shoulders;upper_chest,push
holman-hovering-plank-row,Holman Hovering Plank Row,Abdominals,abdominals,biceps;forearms;obliques,pull
holman-weighted-seated-killer-abs-to-russian-twist,Holman Weighted Seated Killer Abs to Russian Twist,Abdominals,abdominals,,rotational
holman-straight-plank-dumbbell-reach-under,Holman Straight Plank Dumbbell Reach-Under,Abdominals,abdominals,obliques;lower_back,plank
holman-straight-arm-side-plank-overhead-press-to-chest-press,Holman Straight-Arm Side Plank Overhead Press to Chest Press,Abdominals,abdominals,triceps;shoulders;upper_chest,push
holman-weighted-burpee-to-pike,Holman Weighted Burpee to Pike,Abdominals,abdominals,,push
holman-straight-legged-boat-chest-press,Holman Straight-Legged Boat Chest Press,Abdominals,abdominals,triceps;shoulders,push
holman-weighted-burpee-to-side-delt-raise,Holman Weighted Burpee to Side Delt Raise,Abdominals,abdominals,,push
holman-heavy-double-pike,Holman Heavy Double Pike,Abdominals,abdominals,,push
holman-heavy-double-split-pike,Holman Heavy Double Split Pike,Abdominals,abdominals,,push
metaburn-alternating-dumbbell-sit-through,MetaBurn Alternating Dumbbell Sit-Through,Abdominals,abdominals,,push
